Date,Activity,Group,Duration,Distance,Steps,Calories
01/06/14,airplane,transport,6739,1058.457,0,0
01/06/14,walking,walking,9157,6.436,12417,764
01/06/14,transport,transport,4588,34.755,0,0
02/06/14,walking,walking,1518,0.893,2071,106
02/06/14,transport,transport,1733,4.673,0,0
03/06/14,walking,walking,6041,4.177,8372,496
03/06/14,transport,transport,5952,34.780,0,0
04/06/14,walking,walking,1616,0.924,2199,110
04/06/14,airplane,transport,27486,4413.824,0,0
04/06/14,transport,transport,7399,29.672,0,0
05/06/14,walking,walking,100,0.042,131,5
06/06/14,walking,walking,6496,4.954,9608,588
06/06/14,transport,transport,1820,13.159,0,0
07/06/14,walking,walking,24,0.009,30,1
08/06/14,walking,walking,3062,2.561,5148,304
08/06/14,transport,transport,6848,48.683,0,0
10/06/14,walking,walking,10065,6.532,14525,776
10/06/14,transport,transport,4937,28.794,0,0
11/06/14,walking,walking,8,0.003,10,0
13/06/14,walking,walking,6811,4.762,10281,565
13/06/14,transport,transport,7224,35.796,0,0
14/06/14,walking,walking,2291,2.018,4146,240
14/06/14,transport,transport,7367,32.917,0,0
15/06/14,walking,walking,11,0.005,15,1
17/06/14,walking,walking,3293,1.685,4237,200
17/06/14,transport,transport,4617,30.662,0,0
18/06/14,walking,walking,3337,2.234,4830,265
18/06/14,transport,transport,8899,63.921,0,0
19/06/14,walking,walking,26,0.011,35,1
20/06/14,walking,walking,532,0.273,743,32
20/06/14,transport,transport,1771,6.524,0,0
21/06/14,walking,walking,32,0.014,42,2
23/06/14,transport,transport,5584,41.433,0,0
23/06/14,walking,walking,1780,1.103,2725,131
24/06/14,walking,walking,4991,3.558,7256,422
24/06/14,transport,transport,4902,29.520,0,0
25/06/14,walking,walking,14,0.006,18,1
26/06/14,walking,walking,16,0.006,20,1
27/06/14,walking,walking,6655,4.260,9279,506
27/06/14,transport,transport,2876,24.196,0,0
28/06/14,walking,walking,228,0.123,307,15
29/06/14,walking,walking,21,0.009,28,1
30/06/14,walking,walking,744,0.472,1017,56
